algoritmo;dataset;query;tree_leaves_time;external_keys_time;case1_time;case2_time;case3_time;total_time;memory;tree_leaves_time_perc;external_keys_time_perc;case1_time_perc;case2_time_perc;case3_time_perc
PGKEYMAKER-NOTREE;synthea_700;3;45.36;577.08;0.0;172.49;20.1;815.03;1141.55;5.57;70.8;0.0;21.16;2.47
PGKEYMAKER-NOTREE;synthea_700;4;28.63;282.59;0.0;69.81;7.87;388.9;629.83;7.36;72.66;0.0;17.95;2.02
PGKEYMAKER-NOTREE;synthea_700;5;43.28;614.1;0.0;123.23;14.02;794.63;852.7;5.45;77.28;0.0;15.51;1.76
PGKEYMAKER-NOTREE;synthea_700;6;43.46;521.59;0.0;102.54;11.52;679.11;738.48;6.4;76.8;0.0;15.1;1.7
PGKEYMAKER-NOTREE;synthea_700;7;58.07;833.76;0.0;176.55;21.13;1089.51;1113.21;5.33;76.53;0.0;16.2;1.94
PGKEYMAKER-NOTREE;synthea_700;8;57.64;754.57;0.0;195.36;43.29;1050.86;1046.09;5.49;71.8;0.0;18.59;4.12
PGKEYMAKER-NOTREE;synthea_800;1;36.24;299.15;0.0;70.92;9.2;415.51;642.58;8.72;72.0;0.0;17.07;2.21
PGKEYMAKER-NOTREE;synthea_800;2;44.81;551.06;0.0;174.93;20.84;791.64;1113.59;5.66;69.61;0.0;22.1;2.63
PGKEYMAKER-NOTREE;synthea_800;3;44.81;557.53;0.0;211.79;19.38;833.51;1211.79;5.38;66.89;0.0;25.41;2.33
PGKEYMAKER-NOTREE;synthea_800;4;31.2;292.93;0.0;79.61;11.95;415.69;613.09;7.51;70.47;0.0;19.15;2.87
PGKEYMAKER-NOTREE;synthea_800;5;41.12;523.91;0.0;114.1;13.34;692.47;744.36;5.94;75.66;0.0;16.48;1.93
PGKEYMAKER-NOTREE;synthea_800;6;40.26;537.85;0.0;108.07;12.33;698.51;774.26;5.76;77.0;0.0;15.47;1.77
PGKEYMAKER-NOTREE;synthea_800;7;57.5;817.89;0.0;179.84;21.59;1076.82;1200.41;5.34;75.95;0.0;16.7;2.0
PGKEYMAKER-NOTREE;synthea_800;8;58.5;819.72;0.0;212.98;41.54;1132.74;1140.04;5.16;72.37;0.0;18.8;3.67
PGKEYMAKER-NOTREE;synthea_900;1;33.2;412.56;0.0;75.41;7.25;528.42;775.91;6.28;78.07;0.0;14.27;1.37
PGKEYMAKER-NOTREE;synthea_900;2;53.48;758.59;0.0;205.55;23.28;1040.9;1370.89;5.14;72.88;0.0;19.75;2.24
PGKEYMAKER-NOTREE;synthea_900;3;54.42;759.57;0.0;207.55;23.2;1044.74;1466.0;5.21;72.7;0.0;19.87;2.22
PGKEYMAKER-NOTREE;synthea_900;4;32.85;359.13;0.0;88.37;9.79;490.14;600.39;6.7;73.27;0.0;18.03;2.0
PGKEYMAKER-NOTREE;synthea_900;5;53.08;796.95;0.0;150.57;16.71;1017.31;1113.11;5.22;78.34;0.0;14.8;1.64
PGKEYMAKER-NOTREE;synthea_900;6;57.85;806.44;0.0;143.39;15.08;1022.76;928.96;5.66;78.85;0.0;14.02;1.47
PGKEYMAKER-NOTREE;synthea_900;7;75.93;1097.59;0.0;206.05;25.02;1404.59;1451.5;5.41;78.14;0.0;14.67;1.78
PGKEYMAKER-NOTREE;synthea_900;8;71.99;1085.12;0.0;235.05;64.21;1456.37;1378.93;4.94;74.51;0.0;16.14;4.41
